학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000008936,상일중학교,중학교,1999-03-04,공립,본교,운영,광주광역시 서구 쌍촌동 1353-1,광주광역시 서구 내방로 229,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2013-11-29,2020-09-22,35.1586547,126.8654655,2021-03-25
B000009246,계남중학교,중학교,1993-03-01,공립,본교,운영,경기도 부천시 중동 1184-5,경기도 부천시 조마루로 274,7530000,경기도교육청,7581000,경기도부천교육지원청,2013-11-29,2020-09-22,37.49729837,126.7736181,2021-03-25
B000010120,전의중학교,중학교,1954-10-23,공립,본교,운영,세종특별자치시 전의면 읍내리 98-1,세종특별자치시 전의면 운주산로 1260-6,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2013-11-29,2020-09-22,36.68129876,127.1977685,2021-03-25
B000010339,동국대학교사범대학부속금산중학교,중학교,1947-10-30,사립,본교,운영,전라북도 김제시 금산면 쌍용리 470,전라북도 김제시 금산면 모악로 47,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2013-11-29,2020-09-22,35.71681408,126.9981551,2021-03-25
B000026034,어울초등학교,초등학교,2017-09-01,공립,본교,운영,경기도 안성시 대덕면 신령리 821,경기도 안성시 대덕면 신령로 58-33,7530000,경기도교육청,7761000,경기도안성교육지원청,2013-11-29,2020-09-22,37.01650264,127.2242583,2021-03-25
B000009102,대현중학교,중학교,1990-01-30,공립,본교,운영,울산광역시 남구 달동 1330-2,울산광역시 남구 왕생로86번길 33,7480000,울산광역시교육청,7501000,울산광역시강남교육지원청,2013-11-29,2020-09-22,35.54259886,129.3333093,2021-03-25
B000013301,창원토월고등학교,고등학교,2006-03-29,공립,본교,운영,경상남도 창원시 성산구 토월동 443,경상남도 창원시 성산구 비음로91번길 8,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2013-11-29,2020-09-22,35.22574658,128.7040874,2021-03-25
B000005649,온양권곡초등학교,초등학교,2004-03-04,공립,본교,운영,충청남도 아산시 권곡동 201-1,충청남도 아산시 문화로243번길 14,8140000,충청남도교육청,8181000,충청남도아산교육지원청,2013-11-29,2020-09-22,36.79058844,127.0136523,2021-03-25
B000013518,대진고등학교,고등학교,2007-03-02,공립,본교,운영,대구광역시 달서구 대곡동 1036,대구광역시 달서구 화암로73길 15,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2013-11-29,2020-09-22,35.8055655,128.5183763,2021-03-25
B000005024,근덕초등학교궁촌분교장,초등학교,1941-06-07,공립,분교,운영,강원도 삼척시 근덕면 궁촌리 401,강원도 삼척시 근덕면 궁촌길 66,7800000,강원도교육청,7871000,강원도삼척교육지원청,2013-11-29,2020-09-22,37.32003132,129.2634127,2021-03-25
B000005252,덕성초등학교,초등학교,1949-09-01,공립,본교,운영,충청북도 청주시 청원구 율량동 1335,충청북도 청주시 청원구 공항로 113,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2013-11-29,2020-09-22,36.66712835,127.4843941,2021-03-25
B000009754,원주삼육중학교,중학교,1963-02-13,사립,본교,운영,강원도 원주시 무실동 산139,강원도 원주시 북원로 1996,7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,2020-09-22,37.32608484,127.9239252,2021-03-25
B000012964,만리포고등학교,고등학교,1983-03-15,공립,본교,운영,충청남도 태안군 소원면 신덕리 180,충청남도 태안군 소원면 서해로 631,8140000,충청남도교육청,8281000,충청남도태안교육지원청,2013-11-29,2020-09-22,36.75992748,126.1907139,2021-03-25
B000008151,중암중학교,중학교,1985-05-13,공립,본교,운영,서울특별시 마포구 중동 63,서울특별시 마포구 월드컵북로38길 25,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2020-09-22,37.57211207,126.9039182,2021-03-25
B000006213,김제초등학교,초등학교,1945-10-04,공립,본교,운영,전라북도 김제시 요촌동 261-1,전라북도 김제시 서낭당길 31,8320000,전라북도교육청,8381000,전라북도김제교육지원청,2013-11-29,2020-09-22,35.80175343,126.886357,2021-03-25
B000005540,천안오성초등학교,초등학교,2003-03-01,공립,본교,운영,충청남도 천안시 서북구 두정동 675,충청남도 천안시 서북구 오성5길 23,8140000,충청남도교육청,8151000,충청남도천안교육지원청,2013-11-29,2020-09-22,36.83140647,127.1302653,2021-03-25
B000008852,서운중학교,중학교,2001-03-01,공립,본교,운영,인천광역시 계양구 서운동 55-146,인천광역시 계양구 아나지로 467,7310000,인천광역시교육청,7361000,인천광역시서부교육지원청,2013-11-29,2020-09-22,37.52604958,126.7441723,2021-03-25
B000003164,인천가정초등학교,초등학교,1978-05-16,공립,본교,운영,인천광역시 서구 가좌동 395-4,인천광역시 서구 장고개로 336-1,7310000,인천광역시교육청,7361000,인천광역시서부교육지원청,2013-11-29,2020-09-22,37.49130101,126.6881235,2021-03-25
B000005741,연서초등학교,초등학교,1935-05-30,공립,본교,운영,세종특별자치시 연서면 신대리 33-1,세종특별자치시 연서면 연서로 148,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2013-11-29,2020-09-22,36.58259507,127.253971,2021-03-25
